event-id,visible,timestamp,location-long,location-lat,argos:calcul-freq,argos:iq,argos:lc,argos:location-algorithm,argos:nb-mes,argos:sat-id,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24174715821,TRUE,59:29.0,177.5,-67.248,4.02E+08,,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715822,TRUE,11:09.0,177.597,-67.232,4.02E+08,,B,least squares,2,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715823,TRUE,15:13.0,177.596,-67.229,4.02E+08,,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715824,TRUE,30:00.0,177.58,-67.229,4.02E+08,,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715825,TRUE,22:15.0,177.762,-67.249,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715826,TRUE,32:41.0,177.752,-67.252,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715827,TRUE,36:16.0,177.929,-67.313,4.02E+08,,B,least squares,2,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715828,TRUE,54:36.0,177.922,-67.271,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715829,TRUE,54:36.0,177.909,-67.32,4.02E+08,,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715830,TRUE,26:38.0,178.065,-67.439,4.02E+08,8,A,least squares,3,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715831,TRUE,12:29.0,178.221,-67.473,4.02E+08,8,B,least squares,2,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715832,TRUE,27:55.0,178.279,-67.483,4.02E+08,48,0,least squares,4,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715833,TRUE,03:46.0,178.355,-67.501,4.02E+08,7,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715834,TRUE,56:07.0,178.47,-67.523,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715835,TRUE,15:26.0,178.978,-67.618,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715836,TRUE,02:45.0,179.131,-67.654,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715837,TRUE,56:10.0,179.105,-67.704,4.02E+08,8,A,least squares,3,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715838,TRUE,00:44.0,179.281,-67.766,4.02E+08,8,B,least squares,2,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715839,TRUE,21:56.0,179.252,-67.852,4.02E+08,48,1,least squares,6,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715840,TRUE,22:02.0,179.285,-67.839,4.02E+08,40,1,least squares,7,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715841,TRUE,32:13.0,179.313,-67.823,4.02E+08,40,1,least squares,8,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715842,TRUE,32:17.0,179.122,-67.868,4.02E+08,48,0,least squares,4,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715843,TRUE,34:42.0,179.121,-67.868,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715845,TRUE,59:56.0,179.081,-67.892,4.02E+08,40,1,least squares,8,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715846,TRUE,00:58.0,179.081,-67.893,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715844,TRUE,07:16.0,179.023,-67.9,4.02E+08,40,1,least squares,6,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715847,TRUE,56:13.0,179.027,-67.904,4.02E+08,58,0,least squares,4,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715848,TRUE,15:49.0,178.909,-68.012,4.02E+08,58,0,least squares,4,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715849,TRUE,27:55.0,178.92,-68.019,4.02E+08,,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715850,TRUE,41:01.0,178.858,-68.035,4.02E+08,,A,least squares,3,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715851,TRUE,57:10.0,178.946,-68.037,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715852,TRUE,02:14.0,178.943,-68.04,4.02E+08,7,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715853,TRUE,17:30.0,178.925,-68.024,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715854,TRUE,39:18.0,178.811,-68.024,4.02E+08,,B,least squares,2,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715855,TRUE,41:00.0,178.811,-68.023,4.02E+08,,A,least squares,3,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715856,TRUE,41:00.0,178.813,-68.023,4.02E+08,,A,least squares,3,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715857,TRUE,08:56.0,178.95,-68.073,4.02E+08,8,B,least squares,2,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715858,TRUE,52:25.0,178.726,-67.96,4.02E+08,6,B,least squares,2,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715859,TRUE,07:48.0,178.712,-67.961,4.02E+08,,A,least squares,3,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715860,TRUE,34:56.0,178.416,-67.858,4.02E+08,8,A,least squares,3,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715861,TRUE,52:09.0,178.431,-67.86,4.02E+08,,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715862,TRUE,57:34.0,178.429,-67.87,4.02E+08,,B,least squares,2,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715863,TRUE,03:15.0,178.069,-67.776,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715865,TRUE,50:54.0,177.915,-67.824,4.02E+08,8,A,least squares,3,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715864,TRUE,53:13.0,177.981,-67.817,4.02E+08,40,1,least squares,4,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715866,TRUE,09:35.0,177.917,-67.836,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715867,TRUE,18:57.0,178.429,-67.714,4.02E+08,,B,least squares,2,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715868,TRUE,13:24.0,177.883,-67.808,4.02E+08,8,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715869,TRUE,39:09.0,178.135,-67.774,4.02E+08,,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715870,TRUE,49:30.0,178.169,-67.747,4.02E+08,8,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
